2025-01-12 15:58:44.035650 - Action: Inscription | Utilisateur: vava | Details: vous vous etes inscrit.
2025-01-12 16:04:57.525591 - Action: Connexion | Utilisateur: vava | Details: vous vous êtes connecte.
2025-01-12 16:06:24.561834 - Action: Ajout de fichier | Utilisateur: vava | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-12 16:06:24.580500 - Action: Ajout de fichier | Utilisateur: vava | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-12 16:15:48.534910 - Action: Connexion | Utilisateur: vava | Details: vous vous êtes connecte.
2025-01-12 16:23:51.100846 - Action: ajout de fichier reussi | Utilisateur: vava | Details: Fichier Aldi.txt ajoute.
2025-01-12 16:24:16.699474 - Action: echec de la consultation de fichier | Utilisateur: vava | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\coffre_fort\Utilisateurs\vava\vava_blockchain.json non consulte.
2025-01-12 16:24:47.036911 - Action: echec de la consultation de fichier | Utilisateur: vava | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\coffre_fort\Utilisateurs\vava\vava_blockchain.json non consulte.
2025-01-12 16:28:26.678232 - Action: echec de la consultation de fichier | Utilisateur: vava | Details: Fichier vava_blockchain.json non consulte.
2025-01-12 16:31:26.443821 - Action: consultation de fichier reussi | Utilisateur: vava | Details: Fichier Aldi.txt consulte.
2025-01-12 16:34:28.129070 - Action: Connexion | Utilisateur: vava | Details: vous vous êtes connecte.
2025-01-12 16:35:10.780720 - Action: echec de la consultation de fichier | Utilisateur: vava | Details: Fichier aldi.txt non consulte.
2025-01-12 16:35:40.415386 - Action: consultation de fichier reussi | Utilisateur: vava | Details: Fichier Aldi.txt consulte.
2025-01-12 16:37:22.459044 - Action: echec de la consultation de la preuve | Utilisateur: vava | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\coffre_fort\Utilisateurs\vava\vava_blockchain.json preuve non consulte.
2025-01-12 16:37:54.820306 - Action: consultation de la preuve reussi | Utilisateur: vava | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\coffre_fort\Utilisateurs\vava\vava_blockchain.json preuve consulte.
2025-01-12 16:48:38.227713 - Action: Connexion | Utilisateur: vava | Details: vous vous êtes connecte.
2025-01-12 16:50:13.408707 - Action: Connexion | Utilisateur: vava | Details: vous vous êtes connecte.
