2025-01-10 23:25:06.145573 - Action: Inscription | Utilisateur: yvan | Details: vous vous etes inscrit.
2025-01-10 23:40:18.226608 - Action: Connexion echouee | Utilisateur: yvan | Details: Mots de passe incorrect
2025-01-10 23:51:34.150573 - Action: Connexion | Utilisateur: yvan | Details: vous vous êtes connecte.
2025-01-10 23:51:59.302354 - Action: Ajout de fichier | Utilisateur: yvan | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\arena.txt ajouté.
2025-01-10 23:51:59.589392 - Action: Ajout de fichier | Utilisateur: yvan | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\arena.txt ajouté.
2025-01-10 23:51:59.872897 - Action: Ajout de fichier | Utilisateur: yvan | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\arena.txt ajouté.
2025-01-10 23:54:19.531851 - Action: Ajout de fichier échoue | Utilisateur: yvan | Details: Erreur : [Errno 2] No such file or directory: 'coffre_fort\\Utilisateurs\\s\\fichiers_cryptes\\alo.txt.chiffre'
2025-01-11 00:06:01.991930 - Action: Connexion echouee | Utilisateur: yvan | Details: Mots de passe incorrect
2025-01-11 00:06:15.315330 - Action: Connexion echouee | Utilisateur: yvan | Details: Mots de passe incorrect
2025-01-11 00:06:39.142694 - Action: Connexion | Utilisateur: yvan | Details: vous vous êtes connecte.
2025-01-11 00:07:06.092834 - Action: Ajout de fichier | Utilisateur: yvan | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-11 00:08:36.128368 - Action: Connexion | Utilisateur: yvan | Details: vous vous êtes connecte.
2025-01-11 00:08:56.033956 - Action: Ajout de fichier échoue | Utilisateur: yvan | Details: Erreur : argument of type 'NoneType' is not iterable
2025-01-11 00:10:21.411256 - Action: Connexion | Utilisateur: yvan | Details: vous vous êtes connecte.
2025-01-11 00:10:41.942378 - Action: Ajout de fichier échoue | Utilisateur: yvan | Details: Erreur : argument of type 'NoneType' is not iterable
2025-01-11 00:11:48.702367 - Action: Connexion | Utilisateur: yvan | Details: vous vous êtes connecte.
2025-01-11 00:12:07.375166 - Action: Ajout de fichier échoue | Utilisateur: yvan | Details: Erreur : 'NoneType' object is not iterable
2025-01-11 00:15:49.746004 - Action: Connexion | Utilisateur: yvan | Details: vous vous êtes connecte.
2025-01-11 00:16:21.319239 - Action: Ajout de fichier | Utilisateur: yvan | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-11 00:19:13.089307 - Action: Connexion | Utilisateur: yvan | Details: vous vous êtes connecte.
2025-01-11 00:22:06.970849 - Action: Connexion | Utilisateur: yvan | Details: vous vous êtes connecte.
2025-01-11 00:22:27.516596 - Action: Ajout de fichier | Utilisateur: yvan | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-11 00:22:27.539196 - Action: Ajout de fichier | Utilisateur: yvan | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-11 00:24:14.281449 - Action: Ajout de fichier échoue | Utilisateur: yvan | Details: Erreur : [Errno 2] No such file or directory: 'coffre_fort\\Utilisateurs\\sun ,sara\\fichiers_cryptes\\alo.txt.chiffre'
2025-01-11 00:29:17.396037 - Action: Connexion | Utilisateur: yvan | Details: vous vous êtes connecte.
2025-01-11 00:29:52.240702 - Action: Ajout de fichier échoue | Utilisateur: yvan | Details: Erreur : join() argument must be str, bytes, or os.PathLike object, not 'list'
2025-01-11 00:34:54.509903 - Action: Connexion | Utilisateur: yvan | Details: vous vous êtes connecte.
2025-01-11 00:35:15.735824 - Action: Ajout de fichier | Utilisateur: yvan | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-11 00:35:15.750885 - Action: Ajout de fichier | Utilisateur: yvan | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-11 00:35:15.764147 - Action: Ajout de fichier | Utilisateur: yvan | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
