2025-01-12 15:58:44.033247 - Action: Inscription | Utilisateur: vava | Details: Nouvel utilisateur inscrit
2025-01-12 16:00:01.632124 - Action: Inscription | Utilisateur: sun | Details: Nouvel utilisateur inscrit
2025-01-12 16:04:57.523860 - Action: Connexion | Utilisateur: vava | Details: un nouvel utilisateur connecte
2025-01-12 16:06:24.560093 - Action: Ajout de fichier | Utilisateur: vava | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-12 16:06:24.570913 - Action: Ajout de fichier | Utilisateur: vava | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-12 16:10:58.590438 - Action: Inscription | Utilisateur: clara | Details: Nouvel utilisateur inscrit
2025-01-12 16:11:12.377002 - Action: Connexion | Utilisateur: clara | Details: un nouvel utilisateur connecte
2025-01-12 16:12:45.560478 - Action: Ajout de fichier échoue | Utilisateur: clara | Details: Erreur : [Errno 2] No such file or directory: 'coffre_fort\\Utilisateurs\\sun vava\\fichiers_cryptes\\alo.txt.chiffre'
2025-01-12 16:13:54.711085 - Action: Ajout de fichier | Utilisateur: clara | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-12 16:13:54.722681 - Action: Ajout de fichier | Utilisateur: clara | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-12 16:13:54.743954 - Action: Ajout de fichier | Utilisateur: clara | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\alo.txt ajouté.
2025-01-12 16:15:48.533280 - Action: Connexion | Utilisateur: vava | Details: un nouvel utilisateur connecte
2025-01-12 16:23:51.098225 - Action: ajout de fichier reussi | Utilisateur: vava | Details: Fichier Aldi.txt ajoute.
2025-01-12 16:24:16.697824 - Action: echec de la consultation de fichier | Utilisateur: vava | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\coffre_fort\Utilisateurs\vava\vava_blockchain.json non consulte.
2025-01-12 16:24:47.034653 - Action: echec de la consultation de fichier | Utilisateur: vava | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\coffre_fort\Utilisateurs\vava\vava_blockchain.json non consulte.
2025-01-12 16:28:26.676306 - Action: echec de la consultation de fichier | Utilisateur: vava | Details: Fichier vava_blockchain.json non consulte.
2025-01-12 16:31:26.442202 - Action: consultation de fichier reussi | Utilisateur: vava | Details: Fichier Aldi.txt consulte.
2025-01-12 16:34:28.127370 - Action: Connexion | Utilisateur: vava | Details: un nouvel utilisateur connecte
2025-01-12 16:35:10.779115 - Action: echec de la consultation de fichier | Utilisateur: vava | Details: Fichier aldi.txt non consulte.
2025-01-12 16:35:40.412883 - Action: consultation de fichier reussi | Utilisateur: vava | Details: Fichier Aldi.txt consulte.
2025-01-12 16:37:22.457439 - Action: echec de la consultation de la preuve | Utilisateur: vava | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\coffre_fort\Utilisateurs\vava\vava_blockchain.json preuve non consulte.
2025-01-12 16:37:54.818677 - Action: consultation de la preuve reussi | Utilisateur: vava | Details: Fichier C:\Users\Master\projet_GS15\projet_coffre_fort\coffre_fort\Utilisateurs\vava\vava_blockchain.json preuve consulte.
2025-01-12 16:48:38.226001 - Action: Connexion | Utilisateur: vava | Details: un nouvel utilisateur connecte
2025-01-12 16:50:13.406964 - Action: Connexion | Utilisateur: vava | Details: un nouvel utilisateur connecte
